year,matchup_period,matchup_date,team,score,matchup_id
2023,1,Matchup 1 (Mar 30 - Apr 9),Tur-Ner and the Juan: Sotomania,924.25,1
2023,1,Matchup 1 (Mar 30 - Apr 9),Modern Baseball,787.75,1
2023,1,Matchup 1 (Mar 30 - Apr 9),The Mookie Mashers,706.0,2
2023,1,Matchup 1 (Mar 30 - Apr 9),Konerko's Lover,817.5,2
2023,1,Matchup 1 (Mar 30 - Apr 9),Ready to Get Hurt Again,790.75,3
2023,1,Matchup 1 (Mar 30 - Apr 9),Justin Bour's Donut Shop,790.5,3
2023,1,Matchup 1 (Mar 30 - Apr 9),SNPP Softball Team,845.5,4
2023,1,Matchup 1 (Mar 30 - Apr 9),The Trade Daddy,959.75,4
2023,1,Matchup 1 (Mar 30 - Apr 9),Jobu's Rum-Runners,924.25,5
2023,1,Matchup 1 (Mar 30 - Apr 9),Harry Kroll's Fantasy Team,739.75,5
2023,1,Matchup 1 (Mar 30 - Apr 9),The Designated Drinkers,834.5,6
2023,1,Matchup 1 (Mar 30 - Apr 9),"Yes, I Like Pina Moncadas",752.75,6
2023,2,Matchup 2 (Apr 10 - 16),Tur-Ner and the Juan: Sotomania,610.5,1
2023,2,Matchup 2 (Apr 10 - 16),Jobu's Rum-Runners,558.25,1
2023,2,Matchup 2 (Apr 10 - 16),The Designated Drinkers,579.0,2
2023,2,Matchup 2 (Apr 10 - 16),Konerko's Lover,524.75,2
2023,2,Matchup 2 (Apr 10 - 16),The Mookie Mashers,474.5,3
2023,2,Matchup 2 (Apr 10 - 16),Ready to Get Hurt Again,554.25,3
2023,2,Matchup 2 (Apr 10 - 16),Harry Kroll's Fantasy Team,540.25,4
2023,2,Matchup 2 (Apr 10 - 16),The Trade Daddy,489.0,4
2023,2,Matchup 2 (Apr 10 - 16),SNPP Softball Team,538.0,5
2023,2,Matchup 2 (Apr 10 - 16),Modern Baseball,492.25,5
2023,2,Matchup 2 (Apr 10 - 16),"Yes, I Like Pina Moncadas",534.0,6
2023,2,Matchup 2 (Apr 10 - 16),Justin Bour's Donut Shop,605.5,6
2023,3,Matchup 3 (Apr 17 - 23),The Trade Daddy,449.75,1
2023,3,Matchup 3 (Apr 17 - 23),Tur-Ner and the Juan: Sotomania,550.75,1
2023,3,Matchup 3 (Apr 17 - 23),"Yes, I Like Pina Moncadas",582.0,2
2023,3,Matchup 3 (Apr 17 - 23),The Mookie Mashers,439.0,2
2023,3,Matchup 3 (Apr 17 - 23),Konerko's Lover,517.75,3
2023,3,Matchup 3 (Apr 17 - 23),Ready to Get Hurt Again,560.5,3
2023,3,Matchup 3 (Apr 17 - 23),Harry Kroll's Fantasy Team,642.5,4
2023,3,Matchup 3 (Apr 17 - 23),SNPP Softball Team,541.25,4
2023,3,Matchup 3 (Apr 17 - 23),Jobu's Rum-Runners,532.0,5
2023,3,Matchup 3 (Apr 17 - 23),Modern Baseball,500.5,5
2023,3,Matchup 3 (Apr 17 - 23),The Designated Drinkers,482.5,6
2023,3,Matchup 3 (Apr 17 - 23),Justin Bour's Donut Shop,542.5,6
2023,4,Matchup 4 (Apr 24 - 30),The Mookie Mashers,543.75,1
2023,4,Matchup 4 (Apr 24 - 30),Tur-Ner and the Juan: Sotomania,503.0,1
2023,4,Matchup 4 (Apr 24 - 30),Konerko's Lover,582.5,2
2023,4,Matchup 4 (Apr 24 - 30),SNPP Softball Team,558.0,2
2023,4,Matchup 4 (Apr 24 - 30),Ready to Get Hurt Again,515.5,3
2023,4,Matchup 4 (Apr 24 - 30),"Yes, I Like Pina Moncadas",489.0,3
2023,4,Matchup 4 (Apr 24 - 30),Modern Baseball,443.5,4
2023,4,Matchup 4 (Apr 24 - 30),Harry Kroll's Fantasy Team,524.0,4
